PortMonitor,Status,Kwh,LastReading,LastGoodPacket,FWver
40056591,Door closed /400565912022-12-01 08:18:35.773927,Normal,Last Reading:,,1.1.4
40059560,Door closed /400595602022-12-01 08:19:51.292100,Normal,Last Reading:,,01.01.04
400565A2,Door closed /400565A22022-12-01 08:21:06.732074,Normal,Last Reading:,,01.01.04
400565B9,Door closed /400565B92022-12-01 08:22:22.064994,Normal,Last Reading: 14.7830 - 11/10/2022 4:17:37 PM,,01.01.04
400565BF,Door closed /400565BF2022-12-01 08:23:33.069691,Normal,Last Reading:,,01.01.04
400565A7,Door closed /400565A72022-12-01 08:24:40.717446,Normal,Last Reading:,,01.01.04
40056586,Door closed /400565862022-12-01 08:25:49.506778,Normal,Last Reading:,,01.01.04
9160F5DF,Door closed /9160F5DF2022-12-01 08:26:58.319627,Normal,Last Reading:,,01.01.04
400565ED,Door closed /400565ED2022-12-01 08:28:08.993763,Normal,Last Reading:,,01.01.04
40056599,Door closed /400565992022-12-01 08:29:25.189698,Failed,Last Reading:,,01.01.04
4005659E,Door closed /4005659E2022-12-01 08:30:43.059744,Normal,Last Reading:,,01.01.04
40056589,Door closed /400565892022-12-01 08:31:49.748436,Normal,Last Reading:,,01.01.04
400565AD,Door closed /400565AD2022-12-01 08:32:57.530225,Normal,Last Reading:,,1.1.4
400565EE,Door closed /400565EE2022-12-01 08:34:07.893820,Normal,Last Reading:,,01.01.04
400565A0,Door closed /400565A02022-12-01 08:35:21.192164,Normal,Last Reading:,,01.01.04
4005659C,Door closed /4005659C2022-12-01 08:36:29.901715,Normal,Last Reading: 27.3830 - 11/11/2022 2:40:43 PM,,01.01.04
400565B5,Door closed /400565B52022-12-01 08:37:42.033446,Normal,Last Reading:,,01.01.04
400565BC,Door closed /400565BC2022-12-01 08:38:53.540724,Normal,Last Reading:,,01.01.04
40056596,Door closed /400565962022-12-01 08:40:02.305627,Normal,Last Reading:,,01.01.04
40056601,Door closed /400566012022-12-01 08:41:09.734891,Normal,Last Reading:,,01.01.04
400565F3,Door closed /400565F32022-12-01 08:42:16.819787,Normal,Last Reading:,,01.01.04
400565C3,Door closed /400565C32022-12-01 08:43:28.521701,Normal,Last Reading:,,01.01.04
400565F5,Door closed /400565F52022-12-01 08:44:41.645668,Normal,Last Reading:,,01.01.04
400565E3,Door closed /400565E32022-12-01 08:46:00.338730,Normal,Last Reading:,,01.01.04
00AA007D,Initial/Latest kWh 0 / 25.0420,Normal,Last Reading: 25.0420 - 11/30/2022 7:27:42 AM,11/30/2022 7:28:08 AM,Connected,Magno Grid - E212,01.00.03
00AA0087,Initial/Latest kWh 0 / 26.9780,Normal,Last Reading: 26.9780 - 11/30/2022 9:05:52 AM,11/30/2022 9:06:10 AM,Connected,Magno Grid - E212,01.00.03
00AA00AD,Initial/Latest kWh 0 / 29.7510,Normal,Last Reading: 29.7510 - 12/1/2022 7:18:27 AM,12/1/2022 7:18:41 AM,Connected,Magno Grid - E212,01.00.03
00AA00B1,Initial/Latest kWh 0 / 41.9120,Normal,Last Reading: 41.9120 - 11/30/2022 8:00:25 AM,11/30/2022 8:00:42 AM,Connected,Magno Grid - E212,01.00.03
00AA00B5,Initial/Latest kWh 0 / 42.0450,Normal,Last Reading: 42.0450 - 12/1/2022 5:55:33 AM,12/1/2022 5:55:59 AM,Connected,Magno Grid - E212,01.00.03
00AA00C9,Initial/Latest kWh 0 / 36.0750,Normal,Last Reading: 36.0750 - 11/23/2022 12:04:45 PM,11/25/2022 4:42:56 PM,Connected,Magno Grid - E212,01.00.03
00AA00CB,Initial/Latest kWh 0 / 42.7010,Normal,Last Reading: 42.7010 - 11/23/2022 2:28:46 PM,11/25/2022 4:40:11 PM,Connected,Magno Grid - E212,01.00.03
00AA00CF,Initial/Latest kWh 0 / 31.1830,Normal,Last Reading: 31.1830 - 11/30/2022 9:38:35 AM,11/30/2022 9:39:05 AM,Connected,Magno Grid - E212,01.00.03
00AA00D1,Initial/Latest kWh 0 / 17.2340,Normal,Last Reading: 17.2340 - 12/1/2022 4:18:28 AM,12/1/2022 4:18:48 AM,Connected,Magno Grid - E212,01.00.03
00AA00D7,Initial/Latest kWh 0 / 17.7490,Normal,Last Reading: 17.7490 - 11/30/2022 8:02:07 AM,11/30/2022 8:02:23 AM,Connected,Magno Grid - E212,01.00.03
00AA00D9,Initial/Latest kWh 0 / 20.3770,Normal,Last Reading: 20.3770 - 11/30/2022 8:38:07 AM,11/30/2022 8:38:30 AM,Connected,Magno Grid - E212,01.00.03
00AA00DB,Initial/Latest kWh 0 / 20.8040,Normal,Last Reading: 20.8040 - 12/1/2022 5:48:28 AM,12/1/2022 5:48:53 AM,Connected,Magno Grid - E212,01.00.03
