ID,PortMonitor,Status,Kwh,LastReading,LastGoodPacket,ReleStatus,Model,FWver
40056591,Door closed /400565912022-12-21 14:34:19.137058,Normal,,Last Reading:,,,,1.1.4
40059560,Door closed /400595602022-12-21 14:35:52.250933,Normal,,Last Reading:,,,,01.01.04
400565A2,Door closed /400565A22022-12-21 14:36:55.687119,Normal,,Last Reading:,,,,1.1.4
400565B9,Door closed /400565B92022-12-21 14:37:58.899894,Normal,,Last Reading: 14.7830 - 11/10/2022 4:17:37 PM,,,,01.01.04
400565BF,Door closed /400565BF2022-12-21 14:39:02.955869,Normal,,Last Reading:,,,,01.01.04
400565A7,Door closed /400565A72022-12-21 14:40:08.822147,Normal,,Last Reading:,,,,01.01.04
40056586,Door closed /400565862022-12-21 14:41:10.640085,Normal,,Last Reading:,,,,01.01.04
9160F5DF,Door closed /9160F5DF2022-12-21 14:42:20.294049,Normal,,Last Reading:,,,,01.01.04
400565ED,Door closed /400565ED2022-12-21 14:43:25.452911,Normal,,Last Reading:,,,,01.01.04
40056599,Door closed /400565992022-12-21 14:44:27.458672,Normal,,Last Reading:,,,,01.01.04
4005659E,Door closed /4005659E2022-12-21 14:45:29.121174,Normal,,Last Reading:,,,,01.01.04
40056589,Door closed /400565892022-12-21 14:46:33.211954,Normal,,Last Reading:,,,,01.01.04
400565AD,Door closed /400565AD2022-12-21 14:47:36.334499,Normal,,Last Reading:,,,,1.1.4
400565EE,Door closed /400565EE2022-12-21 14:48:39.827453,Normal,,Last Reading:,,,,01.01.04
400565A0,Door closed /400565A02022-12-21 14:49:45.132412,Normal,,Last Reading:,,,,01.01.04
4005659C,Door closed /4005659C2022-12-21 14:51:02.466052,Normal,,Last Reading: 27.3830 - 11/11/2022 2:40:43 PM,,,,01.01.04
400565B5,Door closed /400565B52022-12-21 14:52:13.071958,Normal,,Last Reading:,,,,01.01.04
400565BC,Door closed /400565BC2022-12-21 14:53:18.638646,Normal,,Last Reading:,,,,01.01.04
40056596,Door closed /400565962022-12-21 14:54:25.879060,Normal,,Last Reading:,,,,01.01.04
40056601,Door closed /400566012022-12-21 14:55:30.031003,Normal,,Last Reading:,,,,01.01.04
400565F3,Door closed /400565F32022-12-21 14:56:35.321361,Normal,,Last Reading:,,,,01.01.04
400565C3,Door closed /400565C32022-12-21 14:57:40.805565,Normal,,Last Reading:,,,,01.01.04
400565F5,Door closed /400565F52022-12-21 14:58:45.681286,Normal,,Last Reading:,,,,01.01.04
