PortMonitor,Status,Kwh,LastReading,LastGoodPacket,FWver
40056591,Door closed /400565912022-11-30 17:08:48.174473,Normal,Last Reading:,,1.1.4
40059560,Door closed /400595602022-11-30 17:10:05.776411,Normal,Last Reading:,,01.01.04
400565A2,Door closed /400565A22022-11-30 17:11:25.194882,Normal,Last Reading:,,01.01.04
400565B9,Door closed /400565B92022-11-30 17:12:36.042966,Normal,Last Reading: 14.7830 - 11/10/2022 4:17:37 PM,,01.01.04
400565BF,Door closed /400565BF2022-11-30 17:13:43.820051,Normal,Last Reading:,,01.01.04
400565A7,Door closed /400565A72022-11-30 17:14:58.018909,Normal,Last Reading:,,01.01.04
40056586,Door closed /400565862022-11-30 17:16:08.082412,Normal,Last Reading:,,01.01.04
9160F5DF,Door closed /9160F5DF2022-11-30 17:17:20.668153,Normal,Last Reading:,,01.01.04
400565ED,Door closed /400565ED2022-11-30 17:18:29.694673,Normal,Last Reading:,,01.01.04
40056599,Door closed /400565992022-11-30 17:19:37.253854,Configure,Last Reading:,,01.01.04
4005659E,Door closed /4005659E2022-11-30 17:20:46.603591,Normal,Last Reading:,,01.01.04
40056589,Door closed /400565892022-11-30 17:21:56.604199,Normal,Last Reading:,,01.01.04
400565AD,Door closed /400565AD2022-11-30 17:23:05.279452,Normal,Last Reading:,,1.1.4
400565EE,Door closed /400565EE2022-11-30 17:24:12.629464,Normal,Last Reading:,,01.01.04
400565A0,Door closed /400565A02022-11-30 17:25:19.831370,Normal,Last Reading:,,01.01.04
4005659C,Door closed /4005659C2022-11-30 17:26:30.030745,Normal,Last Reading: 27.3830 - 11/11/2022 2:40:43 PM,,01.01.04
400565B5,Door closed /400565B52022-11-30 17:27:37.228397,Normal,Last Reading:,,01.01.04
400565BC,Door closed /400565BC2022-11-30 17:28:44.324056,Normal,Last Reading:,,01.01.04
40056596,Door closed /400565962022-11-30 17:29:50.665661,Normal,Last Reading:,,01.01.04
40056601,Door closed /400566012022-11-30 17:30:57.823707,Normal,Last Reading:,,01.01.04
400565F3,Door closed /400565F32022-11-30 17:32:06.822170,Normal,Last Reading:,,01.01.04
400565C3,Door closed /400565C32022-11-30 17:33:20.013879,Normal,Last Reading:,,01.01.04
400565F5,Door closed /400565F52022-11-30 17:34:35.715607,Normal,Last Reading:,,01.01.04
400565E3,Door closed /400565E32022-11-30 17:37:24.972091,Normal,Last Reading:,,01.01.04
00AA007D,Initial/Latest kWh 0 / 25.0420,Normal,Last Reading: 25.0420 - 11/30/2022 7:27:42 AM,11/30/2022 7:28:08 AM,Connected,Magno Grid - E212,01.00.03
00AA0087,Initial/Latest kWh 0 / 26.9780,Normal,Last Reading: 26.9780 - 11/30/2022 9:05:52 AM,11/30/2022 9:06:10 AM,Connected,Magno Grid - E212,01.00.03
00AA00AD,Initial/Latest kWh 0 / 29.5290,Normal,Last Reading: 29.5290 - 11/30/2022 1:18:27 PM,11/30/2022 1:18:45 PM,Connected,Magno Grid - E212,01.00.03
00AA00B1,Initial/Latest kWh 0 / 41.9120,Normal,Last Reading: 41.9120 - 11/30/2022 8:00:25 AM,11/30/2022 8:00:42 AM,Connected,Magno Grid - E212,01.00.03
00AA00B5,Initial/Latest kWh 0 / 41.7780,Normal,Last Reading: 41.7780 - 11/30/2022 8:30:08 AM,11/30/2022 8:30:35 AM,Connected,Magno Grid - E212,01.00.03
00AA00C9,Initial/Latest kWh 0 / 36.0750,Normal,Last Reading: 36.0750 - 11/23/2022 12:04:45 PM,11/25/2022 4:42:56 PM,Connected,Magno Grid - E212,01.00.03
00AA00CB,Initial/Latest kWh 0 / 42.7010,Normal,Last Reading: 42.7010 - 11/23/2022 2:28:46 PM,11/25/2022 4:40:11 PM,Connected,Magno Grid - E212,01.00.03
00AA00CF,Initial/Latest kWh 0 / 31.1830,Normal,Last Reading: 31.1830 - 11/30/2022 9:38:35 AM,11/30/2022 9:39:05 AM,Connected,Magno Grid - E212,01.00.03
00AA00D1,Initial/Latest kWh 0 / 14.9810,Normal,Last Reading: 14.9810 - 11/23/2022 1:48:28 PM,11/25/2022 4:40:37 PM,Connected,Magno Grid - E212,01.00.03
00AA00D7,Initial/Latest kWh 0 / 17.7490,Normal,Last Reading: 17.7490 - 11/30/2022 8:02:07 AM,11/30/2022 8:02:23 AM,Connected,Magno Grid - E212,01.00.03
00AA00D9,Initial/Latest kWh 0 / 20.3770,Normal,Last Reading: 20.3770 - 11/30/2022 8:38:07 AM,11/30/2022 8:38:30 AM,Connected,Magno Grid - E212,01.00.03
00AA00DB,Initial/Latest kWh 0 / 20.6540,Normal,Last Reading: 20.6540 - 11/30/2022 5:48:29 PM,11/30/2022 5:48:52 PM,Connected,Magno Grid - E212,01.00.03
